feature,importance_mlp,importance_cnn,rank_mlp,rank_cnn,rank_diff,importance_diff
PSH Flag Count,0.0383887574017662,0.004345644912537,1.0,35.0,34.0,0.0340431124892292
Packet Length Variance,0.0331796126788163,0.004345644912537,2.0,35.0,33.0,0.0288339677662793
ACK Flag Count,0.0310681182857559,0.004345644912537,3.0,35.0,32.0,0.0267224733732189
Min Packet Length,0.0246363977496466,0.004345644912537,4.0,35.0,31.0,0.0202907528371096
Bwd Packets/s,0.0233345618747326,0.004345644912537,5.0,35.0,30.0,0.0189889169621956
Destination Port,0.0181498809426193,0.004345644912537,6.0,35.0,29.0,0.013804236030082299
Bwd Packet Length Std,0.0151961234753103,0.004345644912537,7.0,35.0,28.0,0.0108504785627733
Down/Up Ratio,0.0122255894781126,0.004345644912537,8.0,35.0,27.0,0.0078799445655756
Flow Packets/s,0.0107729892632843,0.004345644912537,9.0,35.0,26.0,0.006427344350747301
Average Packet Size,0.0099810401611149,0.004345644912537,10.0,35.0,25.0,0.005635395248577899
Init_Win_bytes_forward,0.0095586232953641,0.004345644912537,11.0,35.0,24.0,0.0052129783828271
Bwd Packet Length Min,0.008782588020986,0.004345644912537,12.0,35.0,23.0,0.004436943108449
Packet Length Std,0.0084033198243424,0.004345644912537,13.0,35.0,22.0,0.004057674911805399
Bwd IAT Mean,0.0074447888911827,0.004345644912537,14.0,35.0,21.0,0.0030991439786456996
Fwd Packet Length Std,0.0074381272044438,0.004345644912537,15.0,35.0,20.0,0.0030924822919067996
Idle Max,0.0050916776437561,0.004345644912537,16.0,35.0,19.0,0.0007460327312190998
FIN Flag Count,0.0046460700443493,0.004345644912537,17.0,35.0,18.0,0.0003004251318122998
Fwd IAT Max,0.0041830021854598,0.004345644912537,18.0,35.0,17.0,0.00016264272707719983
URG Flag Count,0.0040286622074573,0.004345644912537,19.0,35.0,16.0,0.00031698270507969986
Bwd IAT Total,0.0036944582049358,0.004345644912537,20.0,35.0,15.0,0.0006511867076012001
Packet Length Mean,0.0036839869981529,0.004345644912537,21.0,35.0,14.0,0.0006616579143841001
