feature,importance
Protocol,0.10266978711835612
Init Bwd Win Bytes,0.10144739290456074
Fwd Seg Size Min,0.07806114445816303
Subflow Fwd Bytes,0.06661976292371266
Bwd Packet Length Std,0.04978763446092481
Packet Length Max,0.04601447364311494
Init Fwd Win Bytes,0.045044967600144724
Idle Max,0.027693268561073618
Subflow Fwd Packets,0.022390256900545455
Subflow Bwd Bytes,0.019905090777639262
FIN Flag Count,0.019101818335345386
Fwd Packet Length Std,0.01782693232043148
Packet Length Min,0.01672697844871737
Idle Std,0.014992248894802237
Avg Bwd Segment Size,0.012513095031761647
Bwd Packet Length Max,0.011629953851279233
Bwd Packet Length Mean,0.011337005147671308
Idle Min,0.010564901533964458
Packet Length Std,0.009758849616723249
Fwd Packet Length Max,0.009343545518605247
Fwd Packet Length Mean,0.0059470099127040005
Packet Length Variance,0.005565278754331979
Avg Fwd Segment Size,0.0046530854515886115
Fwd Packets Length Total,0.004473735739289662
Packet Length Mean,0.004315583447680185
Bwd Packets/s,0.0037018853638009705
Fwd Header Length,0.003192411192449552
Fwd Packet Length Min,0.002955221202922011
Down/Up Ratio,0.0025924372908516656
Fwd IAT Max,0.0023337773851461042
Avg Packet Size,0.0021335602352333376
Fwd IAT Total,0.002117405665350619
Bwd IAT Std,0.0018010188973273584
Fwd Packets/s,0.0016495008522315847
Bwd IAT Max,0.0016220065606448075
Idle Mean,0.0013692057256855508
SYN Flag Count,0.0013236218528049205
Flow IAT Mean,0.0012930419647095633
Fwd IAT Mean,0.001226459987716732
Flow IAT Std,0.0011609597292541226
Flow Duration,0.001145096705158193
Flow IAT Min,0.000952859368030548
Bwd IAT Mean,0.0009277539046616017
Flow Packets/s,0.0008892683900823831
Bwd Header Length,0.0008639242148645714
Flow Bytes/s,0.0008188340727775308
Active Max,0.000757699415418771
Fwd PSH Flags,0.0007540941616128394
Flow IAT Max,0.0007318191355391999
Bwd Avg Packets/Bulk,0.0007195551919814613
Active Mean,0.000712082060384289
Bwd Avg Bytes/Bulk,0.0006998993917312759
Fwd IAT Std,0.0006567858302469596
Bwd IAT Total,0.0006111417572109167
Active Min,0.0006088508358113154
ACK Flag Count,0.0006046568215272913
Active Std,0.0005981277068230638
Total Fwd Packets,0.0005273283484102272
Bwd IAT Min,0.00048421632098337306
Fwd IAT Min,0.0004690833435985548
Bwd Avg Bulk Rate,0.00046032114494801244
PSH Flag Count,0.00045230629049738795
Total Backward Packets,0.0004470731750295351
Fwd Act Data Packets,0.0004127366869532822
Bwd Packets Length Total,0.00041000252119012293
Bwd Packet Length Min,0.00036764046369218136
RST Flag Count,3.9875328042383046e-05
Bwd PSH Flags,0.0
Fwd URG Flags,0.0
Bwd URG Flags,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
Fwd Avg Bulk Rate,0.0
ECE Flag Count,0.0
CWE Flag Count,0.0
URG Flag Count,0.0
Subflow Bwd Packets,0.0
Attack,0.0
