feature,importance
Init_Win_bytes_forward,0.004345644912537063
act_data_pkt_fwd,0.004345644912537063
PSH Flag Count,0.004345644912537063
Packet Length Mean,0.004345644912537063
Bwd IAT Std,0.004345644912537063
Flow IAT Min,0.004345644912537063
Average Packet Size,0.004345644912537063
Flow IAT Max,0.0043456449125370625
Flow Duration,0.0043456449125370625
Fwd Packet Length Std,0.0043456449125370625
Fwd Packet Length Mean,0.0043456449125370625
Fwd IAT Min,0.0043456449125370625
Bwd IAT Mean,0.0043456449125370625
Bwd IAT Total,0.0043456449125370625
CWE Flag Count,0.0043456449125370625
Avg Fwd Segment Size,0.0043456449125370625
Idle Max,0.0043456449125370625
Idle Min,0.0043456449125370625
Idle Mean,0.0043456449125370625
Active Min,0.0043456449125370625
Active Max,0.0043456449125370625
Active Mean,0.0043456449125370625
Bwd IAT Max,0.0043456449125370625
Bwd IAT Min,0.0043456449125370625
Flow IAT Mean,0.0043456449125370625
Fwd IAT Max,0.0043456449125370625
Fwd IAT Total,0.0043456449125370625
Fwd IAT Mean,0.0043456449125370625
Fwd IAT Std,0.0043456449125370625
Flow IAT Std,0.0043456449125370625
Bwd Packet Length Std,0.004345644912537062
Bwd Packet Length Mean,0.004345644912537062
Bwd Packet Length Min,0.004345644912537062
Bwd Packet Length Max,0.004345644912537062
Fwd Packet Length Max,0.004345644912537062
Fwd Packet Length Min,0.004345644912537062
Total Length of Fwd Packets,0.004345644912537062
Total Length of Bwd Packets,0.004345644912537062
Destination Port,0.004345644912537062
Total Fwd Packets,0.004345644912537062
Total Backward Packets,0.004345644912537062
Bwd PSH Flags,0.004345644912537062
Flow Bytes/s,0.004345644912537062
Fwd PSH Flags,0.004345644912537062
Bwd Header Length,0.004345644912537062
Flow Packets/s,0.004345644912537062
Subflow Fwd Bytes,0.004345644912537062
Init_Win_bytes_backward,0.004345644912537062
RST Flag Count,0.004345644912537062
SYN Flag Count,0.004345644912537062
Packet Length Std,0.004345644912537062
Max Packet Length,0.004345644912537062
FIN Flag Count,0.004345644912537062
Packet Length Variance,0.004345644912537062
Fwd Header Length,0.004345644912537062
Min Packet Length,0.004345644912537062
Bwd Packets/s,0.004345644912537062
Fwd Packets/s,0.004345644912537062
URG Flag Count,0.004345644912537062
ACK Flag Count,0.004345644912537062
Down/Up Ratio,0.004345644912537062
Avg Bwd Segment Size,0.004345644912537062
Idle Std,0.004345644912537062
Subflow Fwd Packets,0.004345644912537062
Subflow Bwd Packets,0.004345644912537062
Subflow Bwd Bytes,0.004345644912537062
Active Std,0.004345644912537062
Bwd Avg Packets/Bulk,0.004345644912537062
Fwd Header Length.1,0.004345644912537062
min_seg_size_forward,0.004344138841360355
Fwd URG Flags,0.0002008896539327001
ECE Flag Count,0.00011366497028548048
Bwd URG Flags,7.618109606347145e-20
Bwd Avg Bytes/Bulk,7.618109606347145e-20
Bwd Avg Bulk Rate,7.618109606347145e-20
Fwd Avg Bulk Rate,5.69434455423928e-20
Fwd Avg Bytes/Bulk,0.0
Fwd Avg Packets/Bulk,0.0
