feature,importance
Init Bwd Win Bytes,0.09300905754854068
Protocol,0.006316913372096497
Total Fwd Packets,0.006316913372096497
Total Backward Packets,0.006316913372096497
Bwd Packet Length Min,0.006316913372096497
Flow Duration,0.006316913372096497
Flow IAT Max,0.006316913372096497
Fwd IAT Mean,0.006316913372096497
Flow IAT Min,0.006316913372096497
Fwd IAT Total,0.006316913372096497
Flow IAT Mean,0.006316913372096497
Flow IAT Std,0.006316913372096497
Flow Bytes/s,0.006316913372096497
Fwd Packet Length Min,0.006316913372096497
Idle Max,0.006316913372096497
Active Mean,0.006316913372096497
Bwd Header Length,0.006316913372096497
Idle Min,0.006316913372096497
Idle Std,0.006316913372096497
Idle Mean,0.006316913372096497
Active Min,0.006316913372096497
Active Max,0.006316913372096497
Bwd IAT Mean,0.006316913372096497
Fwd IAT Max,0.006316913372096497
Fwd IAT Min,0.006316913372096497
Bwd IAT Total,0.006316913372096497
Bwd IAT Max,0.006316913372096497
Bwd IAT Std,0.006316913372096497
Fwd Header Length,0.006316913372096497
Fwd IAT Std,0.006316913372096497
SYN Flag Count,0.006316913372096497
Packet Length Min,0.006316913372096497
Fwd Avg Bytes/Bulk,0.006316913372096497
Subflow Fwd Packets,0.006316913372096497
ACK Flag Count,0.006316913372096497
CWE Flag Count,0.006316913372096497
PSH Flag Count,0.006316913372096497
Bwd URG Flags,0.006316913372096497
ECE Flag Count,0.006316913372096497
Init Fwd Win Bytes,0.006316913372096497
Bwd Packet Length Max,0.006316913372096496
Fwd Packet Length Std,0.006316913372096496
Fwd Packet Length Max,0.006316913372096496
Fwd Packet Length Mean,0.006316913372096496
Fwd Packets Length Total,0.006316913372096496
Bwd Packets Length Total,0.006316913372096496
Bwd Packet Length Std,0.006316913372096496
Bwd Packet Length Mean,0.006316913372096496
Down/Up Ratio,0.006316913372096496
Bwd Avg Bulk Rate,0.006316913372096496
Avg Bwd Segment Size,0.006316913372096496
Subflow Fwd Bytes,0.006316913372096496
Bwd Avg Bytes/Bulk,0.006316913372096496
Bwd Avg Packets/Bulk,0.006316913372096496
Packet Length Std,0.006316913372096496
Packet Length Max,0.006316913372096496
Packet Length Mean,0.006316913372096496
FIN Flag Count,0.006316913372096496
Packet Length Variance,0.006316913372096496
Fwd Avg Bulk Rate,0.006316913372096496
Avg Fwd Segment Size,0.006316913372096496
Avg Packet Size,0.006316913372096496
Fwd Seg Size Min,0.006316913372096496
Fwd Act Data Packets,0.006316913372096496
Subflow Bwd Bytes,0.006316913372096496
Subflow Bwd Packets,0.006253975430112401
Fwd Packets/s,0.002543853837778537
Bwd Packets/s,0.0024505374008101767
Flow Packets/s,0.0022199121011940294
RST Flag Count,0.0003641686494333454
Fwd PSH Flags,0.0003077002605543451
Active Std,7.096074304397035e-05
Bwd IAT Min,6.956728516390825e-05
Bwd PSH Flags,6.956728516390825e-05
Fwd Avg Packets/Bulk,6.956728516390825e-05
URG Flag Count,3.158945951663726e-06
Fwd URG Flags,0.0
Attack,0.0
